,book.type,book.value,mainEntity.type,mainEntity.value,publ.type,publ.value,subject.type,subject.value,subject_label.type,subject_label.value
0,uri,http://data.bibliotheken.nl/id/nbt/p320489140,uri,https://data2.bibliotheken.nl/.well-known/genid/0af89a148d22b645fbbcca81fc450c2b,uri,https://data2.bibliotheken.nl/.well-known/genid/fa95e49dd05bb2c65e74efe7fbd35f27,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
1,uri,http://data.bibliotheken.nl/id/nbt/p322693160,uri,https://data2.bibliotheken.nl/.well-known/genid/71353f23385794f148a089c9593a3cfc,uri,https://data2.bibliotheken.nl/.well-known/genid/9937b6192af562c822ebc13de92ab36a,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
2,uri,http://data.bibliotheken.nl/id/nbt/p322693594,uri,https://data2.bibliotheken.nl/.well-known/genid/447803fed7763a173d5cfc5d394fc59c,uri,https://data2.bibliotheken.nl/.well-known/genid/8131afe3970e749297f1779cac3417e7,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
3,uri,http://data.bibliotheken.nl/id/nbt/p832661864,uri,https://data2.bibliotheken.nl/.well-known/genid/ee79b92c5a4dccc3d50ddeacfaae0ca9,uri,https://data2.bibliotheken.nl/.well-known/genid/87a8d40a1fcbbcc96efaa60902f05ef7,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
4,uri,http://data.bibliotheken.nl/id/nbt/p061230324,uri,https://data2.bibliotheken.nl/.well-known/genid/4c6807025e43249c6eb721efb5fcc1ab,uri,https://data2.bibliotheken.nl/.well-known/genid/ffbd1a1991334e9632236d3c89784530,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
5,uri,http://data.bibliotheken.nl/id/nbt/p061239267,uri,https://data2.bibliotheken.nl/.well-known/genid/f0affbec1d55be6a8f14ef8123d9f6de,uri,https://data2.bibliotheken.nl/.well-known/genid/6f64d27184a639624347477f1e26b904,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
6,uri,http://data.bibliotheken.nl/id/nbt/p061451606,uri,https://data2.bibliotheken.nl/.well-known/genid/4ae8ec373e9bc49f1af9aef1ef2ba0b2,uri,https://data2.bibliotheken.nl/.well-known/genid/c8dc6be4d0b48e84ffe82c9c8c695761,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
7,uri,http://data.bibliotheken.nl/id/nbt/p241436877,uri,https://data2.bibliotheken.nl/.well-known/genid/6c4eb63b337994d0029d1d85236c0604,uri,https://data2.bibliotheken.nl/.well-known/genid/bf8b098987992306ea933cfa124f0da9,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
8,uri,http://data.bibliotheken.nl/id/nbt/p337161917,uri,https://data2.bibliotheken.nl/.well-known/genid/30617a270a60c7c971b61d730610e7b3,uri,https://data2.bibliotheken.nl/.well-known/genid/43ecd785a25747673f9acda18f89a713,uri,http://data.bibliotheken.nl/id/thes/p155444549,literal,Italian language and literature
9,uri,http://data.bibliotheken.nl/id/nbt/p337162077,uri,https://data2.bibliotheken.nl/.well-known/genid/8098bafe3e2d6c6b13440c498141284b,uri,https://data2.bibliotheken.nl/.well-known/genid/caa0ac543d62d0b81dd803b39996c143,uri,http://data.bibliotheken.nl/id/thes/p155444689,literal,Spanish language and literature
10,uri,http://data.bibliotheken.nl/id/nbt/p428347002,uri,https://data2.bibliotheken.nl/.well-known/genid/965348732b642d6530d068dd77356a7b,uri,https://data2.bibliotheken.nl/.well-known/genid/780d4034fe4e8ed586daa287a745a3a7,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
11,uri,http://data.bibliotheken.nl/id/nbt/p832607398,uri,https://data2.bibliotheken.nl/.well-known/genid/8382a02a027da515090355172ae240b4,uri,https://data2.bibliotheken.nl/.well-known/genid/c626dcc3ea610fe0bf7896d2c7294945,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
12,uri,http://data.bibliotheken.nl/id/nbt/p832607436,uri,https://data2.bibliotheken.nl/.well-known/genid/9e72e60f6e66904103e2e8668acd6b6e,uri,https://data2.bibliotheken.nl/.well-known/genid/e58891f411369fa41d32635af41ab8bf,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
13,uri,http://data.bibliotheken.nl/id/nbt/p832705098,uri,https://data2.bibliotheken.nl/.well-known/genid/cbd8087c807689741cd094d77de8d381,uri,https://data2.bibliotheken.nl/.well-known/genid/e558383be34dff8dc65f1136e6b7deb1,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
14,uri,http://data.bibliotheken.nl/id/nbt/p832724653,uri,https://data2.bibliotheken.nl/.well-known/genid/8121d9eb8debfe1f7e686b8dfbf20fe8,uri,https://data2.bibliotheken.nl/.well-known/genid/7e8a23e6147c796befe1e45db6d6fd38,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
15,uri,http://data.bibliotheken.nl/id/nbt/p832738611,uri,https://data2.bibliotheken.nl/.well-known/genid/e40fdcd57db268993cd2866a80f4eddd,uri,https://data2.bibliotheken.nl/.well-known/genid/8e9bde0a399fe8a85ff824f3037e9417,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
16,uri,http://data.bibliotheken.nl/id/nbt/p832765309,uri,https://data2.bibliotheken.nl/.well-known/genid/bd88e2bef5f9e89e99eeafca9163b560,uri,https://data2.bibliotheken.nl/.well-known/genid/07aa62ea147fdb47bb6663da90aed8b0,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
17,uri,http://data.bibliotheken.nl/id/nbt/p83294324X,uri,https://data2.bibliotheken.nl/.well-known/genid/08675eb4cd9cc9036feccb789b242ed8,uri,https://data2.bibliotheken.nl/.well-known/genid/920a65656e66cf2bb77948f137c27bf1,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
18,uri,http://data.bibliotheken.nl/id/nbt/p833302949,uri,https://data2.bibliotheken.nl/.well-known/genid/3ea7fce007d0ff7b9500838b4e55246b,uri,https://data2.bibliotheken.nl/.well-known/genid/5196e91ea34ad010ae58dae9e4f76ed9,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
19,uri,http://data.bibliotheken.nl/id/nbt/p833520407,uri,https://data2.bibliotheken.nl/.well-known/genid/4a8a2ccbb74d876569f17fbc32ba8c33,uri,https://data2.bibliotheken.nl/.well-known/genid/e305beb546155e1cf86e7be4ff8d8b78,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
20,uri,http://data.bibliotheken.nl/id/nbt/p833597299,uri,https://data2.bibliotheken.nl/.well-known/genid/f05b8d2511b28704d2dcf45a4dca922a,uri,https://data2.bibliotheken.nl/.well-known/genid/210f3cf6da6f598ae64ca3ee19e441d4,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
21,uri,http://data.bibliotheken.nl/id/nbt/p833597396,uri,https://data2.bibliotheken.nl/.well-known/genid/cafd8468a16d96ef43416cb64daf5a7a,uri,https://data2.bibliotheken.nl/.well-known/genid/c4bb82586437791409ac37460769a557,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
22,uri,http://data.bibliotheken.nl/id/nbt/p83370219X,uri,https://data2.bibliotheken.nl/.well-known/genid/e4c89795afa59fe0a741981aa6464986,uri,https://data2.bibliotheken.nl/.well-known/genid/df27db37f096d860274eb92e788561a3,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
23,uri,http://data.bibliotheken.nl/id/nbt/p840010095,uri,https://data2.bibliotheken.nl/.well-known/genid/77d30476901fe66cb773247ac70aa655,uri,https://data2.bibliotheken.nl/.well-known/genid/48406c43ed16eebfae280323efc94735,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
24,uri,http://data.bibliotheken.nl/id/nbt/p060007303,uri,https://data2.bibliotheken.nl/.well-known/genid/9b36fc196aa36630a3f77f3693df5620,uri,https://data2.bibliotheken.nl/.well-known/genid/e6b361d509bfb3e14e650383e08b7ebf,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
25,uri,http://data.bibliotheken.nl/id/nbt/p061263559,uri,https://data2.bibliotheken.nl/.well-known/genid/9eb05db7644754e0602228cef873b0db,uri,https://data2.bibliotheken.nl/.well-known/genid/6e7d24eb522986ea2f1b508e8a841722,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
26,uri,http://data.bibliotheken.nl/id/nbt/p061305049,uri,https://data2.bibliotheken.nl/.well-known/genid/348cf7ca56b0bf70216d1e42c78a5466,uri,https://data2.bibliotheken.nl/.well-known/genid/60ef99163e94ff9ce8fb627208d82cff,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
27,uri,http://data.bibliotheken.nl/id/nbt/p065308417,uri,https://data2.bibliotheken.nl/.well-known/genid/f4dbe612eb76130ef94b8f15d05eeae1,uri,https://data2.bibliotheken.nl/.well-known/genid/b6d78a8fa10cf63d5b8d0ed25830a190,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
28,uri,http://data.bibliotheken.nl/id/nbt/p833600664,uri,https://data2.bibliotheken.nl/.well-known/genid/46f09598a14ef2f7b8e723c4d5c65c88,uri,https://data2.bibliotheken.nl/.well-known/genid/5611f90a5b96cdf9705169f8d308cbe0,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
29,uri,http://data.bibliotheken.nl/id/nbt/p089165829,uri,https://data2.bibliotheken.nl/.well-known/genid/60116d11fd75c5693e7efaf0992955b0,uri,https://data2.bibliotheken.nl/.well-known/genid/8c8ef06ee5ea1ff274129298e7b8ea7f,uri,http://data.bibliotheken.nl/id/thes/p155444735,literal,General works
30,uri,http://data.bibliotheken.nl/id/nbt/p863669980,uri,https://data2.bibliotheken.nl/.well-known/genid/6973d589cbe8a0bcad06e14cb7dda43a,uri,https://data2.bibliotheken.nl/.well-known/genid/6b22090e8f93db463d9a95a1e99e4d44,uri,http://data.bibliotheken.nl/id/thes/p155444794,literal,Science (general)
31,uri,http://data.bibliotheken.nl/id/nbt/p322693764,uri,https://data2.bibliotheken.nl/.well-known/genid/5cd766cf80eabae97c0098f94aedee0c,uri,https://data2.bibliotheken.nl/.well-known/genid/3289ed8c4f1739116de8394bc99d729e,uri,http://data.bibliotheken.nl/id/thes/p155444832,literal,Greek language and literature
